Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
National total;Unidentified (suspected) COVID-19 virus;May;Total;Total;751
National total;Unidentified (suspected) COVID-19 virus;May;Total;Hospital centre;459
National total;Unidentified (suspected) COVID-19 virus;May;Total;Home;121
National total;Unidentified (suspected) COVID-19 virus;May;Total;Health care home;155
National total;Unidentified (suspected) COVID-19 virus;May;Total;Other place;3
National total;Unidentified (suspected) COVID-19 virus;May;Total;Not specified;13
National total;Unidentified (suspected) COVID-19 virus;May;Men;Total;355
National total;Unidentified (suspected) COVID-19 virus;May;Men;Hospital centre;236
National total;Unidentified (suspected) COVID-19 virus;May;Men;Home;61
National total;Unidentified (suspected) COVID-19 virus;May;Men;Health care home;48
National total;Unidentified (suspected) COVID-19 virus;May;Men;Other place;2
National total;Unidentified (suspected) COVID-19 virus;May;Men;Not specified;8
National total;Unidentified (suspected) COVID-19 virus;May;Women;Total;396
National total;Unidentified (suspected) COVID-19 virus;May;Women;Hospital centre;223
National total;Unidentified (suspected) COVID-19 virus;May;Women;Home;60
National total;Unidentified (suspected) COVID-19 virus;May;Women;Health care home;107
National total;Unidentified (suspected) COVID-19 virus;May;Women;Other place;1
National total;Unidentified (suspected) COVID-19 virus;May;Women;Not specified;5
National total;Unidentified (suspected) COVID-19 virus;June;Total;Total;146
National total;Unidentified (suspected) COVID-19 virus;June;Total;Hospital centre;95
National total;Unidentified (suspected) COVID-19 virus;June;Total;Home;22
National total;Unidentified (suspected) COVID-19 virus;June;Total;Health care home;21
National total;Unidentified (suspected) COVID-19 virus;June;Total;Other place;..
National total;Unidentified (suspected) COVID-19 virus;June;Total;Not specified;8
National total;Unidentified (suspected) COVID-19 virus;June;Men;Total;75
National total;Unidentified (suspected) COVID-19 virus;June;Men;Hospital centre;53
National total;Unidentified (suspected) COVID-19 virus;June;Men;Home;11
National total;Unidentified (suspected) COVID-19 virus;June;Men;Health care home;6
National total;Unidentified (suspected) COVID-19 virus;June;Men;Other place;..
National total;Unidentified (suspected) COVID-19 virus;June;Men;Not specified;5
National total;Unidentified (suspected) COVID-19 virus;June;Women;Total;71
National total;Unidentified (suspected) COVID-19 virus;June;Women;Hospital centre;42
National total;Unidentified (suspected) COVID-19 virus;June;Women;Home;11
National total;Unidentified (suspected) COVID-19 virus;June;Women;Health care home;15
National total;Unidentified (suspected) COVID-19 virus;June;Women;Other place;..
National total;Unidentified (suspected) COVID-19 virus;June;Women;Not specified;3
National total;Unidentified (suspected) COVID-19 virus;July;Total;Total;219
National total;Unidentified (suspected) COVID-19 virus;July;Total;Hospital centre;148
National total;Unidentified (suspected) COVID-19 virus;July;Total;Home;43
National total;Unidentified (suspected) COVID-19 virus;July;Total;Health care home;20
National total;Unidentified (suspected) COVID-19 virus;July;Total;Other place;2
National total;Unidentified (suspected) COVID-19 virus;July;Total;Not specified;6
National total;Unidentified (suspected) COVID-19 virus;July;Men;Total;104
National total;Unidentified (suspected) COVID-19 virus;July;Men;Hospital centre;69
National total;Unidentified (suspected) COVID-19 virus;July;Men;Home;26
National total;Unidentified (suspected) COVID-19 virus;July;Men;Health care home;5
National total;Unidentified (suspected) COVID-19 virus;July;Men;Other place;1
National total;Unidentified (suspected) COVID-19 virus;July;Men;Not specified;3
National total;Unidentified (suspected) COVID-19 virus;July;Women;Total;115
National total;Unidentified (suspected) COVID-19 virus;July;Women;Hospital centre;79
National total;Unidentified (suspected) COVID-19 virus;July;Women;Home;17
National total;Unidentified (suspected) COVID-19 virus;July;Women;Health care home;15
National total;Unidentified (suspected) COVID-19 virus;July;Women;Other place;1
National total;Unidentified (suspected) COVID-19 virus;July;Women;Not specified;3
National total;Unidentified (suspected) COVID-19 virus;August;Total;Total;223
National total;Unidentified (suspected) COVID-19 virus;August;Total;Hospital centre;131
National total;Unidentified (suspected) COVID-19 virus;August;Total;Home;40
National total;Unidentified (suspected) COVID-19 virus;August;Total;Health care home;43
National total;Unidentified (suspected) COVID-19 virus;August;Total;Other place;4
National total;Unidentified (suspected) COVID-19 virus;August;Total;Not specified;5
National total;Unidentified (suspected) COVID-19 virus;August;Men;Total;102
National total;Unidentified (suspected) COVID-19 virus;August;Men;Hospital centre;63
National total;Unidentified (suspected) COVID-19 virus;August;Men;Home;20
National total;Unidentified (suspected) COVID-19 virus;August;Men;Health care home;15
National total;Unidentified (suspected) COVID-19 virus;August;Men;Other place;1
National total;Unidentified (suspected) COVID-19 virus;August;Men;Not specified;3
National total;Unidentified (suspected) COVID-19 virus;August;Women;Total;121
National total;Unidentified (suspected) COVID-19 virus;August;Women;Hospital centre;68
National total;Unidentified (suspected) COVID-19 virus;August;Women;Home;20
National total;Unidentified (suspected) COVID-19 virus;August;Women;Health care home;28
National total;Unidentified (suspected) COVID-19 virus;August;Women;Other place;3
National total;Unidentified (suspected) COVID-19 virus;August;Women;Not specified;2
National total;Unidentified (suspected) COVID-19 virus;September;Total;Total;182
National total;Unidentified (suspected) COVID-19 virus;September;Total;Hospital centre;132
National total;Unidentified (suspected) COVID-19 virus;September;Total;Home;29
National total;Unidentified (suspected) COVID-19 virus;September;Total;Health care home;18
National total;Unidentified (suspected) COVID-19 virus;September;Total;Other place;2
National total;Unidentified (suspected) COVID-19 virus;September;Total;Not specified;1
National total;Unidentified (suspected) COVID-19 virus;September;Men;Total;90
National total;Unidentified (suspected) COVID-19 virus;September;Men;Hospital centre;72
National total;Unidentified (suspected) COVID-19 virus;September;Men;Home;15
National total;Unidentified (suspected) COVID-19 virus;September;Men;Health care home;3
National total;Unidentified (suspected) COVID-19 virus;September;Men;Other place;..
National total;Unidentified (suspected) COVID-19 virus;September;Men;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;September;Women;Total;92
National total;Unidentified (suspected) COVID-19 virus;September;Women;Hospital centre;60
National total;Unidentified (suspected) COVID-19 virus;September;Women;Home;14
National total;Unidentified (suspected) COVID-19 virus;September;Women;Health care home;15
National total;Unidentified (suspected) COVID-19 virus;September;Women;Other place;2
National total;Unidentified (suspected) COVID-19 virus;September;Women;Not specified;1
National total;Unidentified (suspected) COVID-19 virus;October;Total;Total;182
National total;Unidentified (suspected) COVID-19 virus;October;Total;Hospital centre;122
National total;Unidentified (suspected) COVID-19 virus;October;Total;Home;43
National total;Unidentified (suspected) COVID-19 virus;October;Total;Health care home;14
National total;Unidentified (suspected) COVID-19 virus;October;Total;Other place;..
National total;Unidentified (suspected) COVID-19 virus;October;Total;Not specified;3
National total;Unidentified (suspected) COVID-19 virus;October;Men;Total;102
National total;Unidentified (suspected) COVID-19 virus;October;Men;Hospital centre;69
National total;Unidentified (suspected) COVID-19 virus;October;Men;Home;26
National total;Unidentified (suspected) COVID-19 virus;October;Men;Health care home;5
National total;Unidentified (suspected) COVID-19 virus;October;Men;Other place;..
National total;Unidentified (suspected) COVID-19 virus;October;Men;Not specified;2
National total;Unidentified (suspected) COVID-19 virus;October;Women;Total;80
National total;Unidentified (suspected) COVID-19 virus;October;Women;Hospital centre;53
National total;Unidentified (suspected) COVID-19 virus;October;Women;Home;17
National total;Unidentified (suspected) COVID-19 virus;October;Women;Health care home;9
National total;Unidentified (suspected) COVID-19 virus;October;Women;Other place;..
